Sort,Planted,index,NIR_plate,experiment code,note1,Culture Number,Genotype,Isolate,NIR_plate_kernels,kernels,Positions,indexed,Seed treatment 1,Seed treatment 2,Date planted,Time watered,Base Soil Type,Honeycomb media,Rack,camera,Tray Position,Emergence Temperature,Date Transfer to emergence temperature,Time Transfer to 24C,Date time,initial picture date,initial picture time,Date Time,image capture interval (min),images captured,Time Between Transfer and first Picture (hrs),iplant directory,Colaborator,Handscored,HandScore_Location,ForImageProcessing,ForImageProcessing_Note,
15,yes,20160613_tray1,,NAM parents,,15A-6196,B73,B73,NA,42,A01:G06,no,24C,non-primed,20170613,10:20,SunGro MM 930 Rsi,Playground Sand,1,1,distal,24,20170613,13:40,6/13/2017 13:40,20170614,15:17,6/14/2017 15:17,30,350,25.62,/iplant/home/jgustin/20160614_Camera1,NA,no,,no,NA,
16,yes,20160613_tray1,,NAM parents,,15A-6196,B73,B73,NA,42,A07:G12,no,24C,primed; microcell,20170613,10:20,SunGro MM 930 Rsi,Playground Sand,1,1,distal,24,20170613,13:40,6/13/2017 13:40,20170614,15:17,6/14/2017 15:17,30,350,25.62,/iplant/home/jgustin/20160614_Camera1,NA,no,,no,NA,
17,yes,20160613_tray4,,NAM parents,,15A-6208,CML069,CML069,NA,42,A01:G06,no,24C,non-primed,20170613,10:50,SunGro MM 930 Rsi,Playground Sand,1,3,proximal,24,20170613,13:40,6/13/2017 13:40,20170614,15:17,6/14/2017 15:17,30,350,25.62,/iplant/home/jgustin/20160614_Camera3,NA,no,,no,NA,
18,yes,20160613_tray4,,NAM parents,,15A-6208,CML069,CML069,NA,42,A07:G12,no,24C,primed; microcell,20170613,10:50,SunGro MM 930 Rsi,Playground Sand,1,3,proximal,24,20170613,13:40,6/13/2017 13:40,20170614,15:17,6/14/2017 15:17,30,350,25.62,/iplant/home/jgustin/20160614_Camera3,NA,no,,no,NA,
19,yes,20160613_tray3,,NAM parents,,15A-6214,CML052,CML052,NA,42,A01:G06,no,24C,non-primed,20170613,11:20,SunGro MM 930 Rsi,Playground Sand,1,3,distal,24,20170613,13:40,6/13/2017 13:40,20170614,15:17,6/14/2017 15:17,30,350,25.62,/iplant/home/jgustin/20160614_Camera3,NA,no,,no,NA,
20,yes,20160613_tray3,,NAM parents,,15A-6214,CML052,CML052,NA,42,A07:G12,no,24C,primed; microcell,20170613,11:20,SunGro MM 930 Rsi,Playground Sand,1,3,distal,24,20170613,13:40,6/13/2017 13:40,20170614,15:17,6/14/2017 15:17,30,350,25.62,/iplant/home/jgustin/20160614_Camera3,NA,no,,no,NA,
21,yes,20160613_tray6,,NAM parents,,15A-6205,CML228,CML228,NA,42,A01:G06,no,24C,non-primed,20170613,11:50,SunGro MM 930 Rsi,Playground Sand,1,5,proximal,24,20170613,13:40,6/13/2017 13:40,20170614,15:17,6/14/2017 15:17,30,350,25.62,/iplant/home/jgustin/20160614_Camera5,NA,no,,no,NA,
22,yes,20160613_tray6,,NAM parents,,15A-6205,CML228,CML228,NA,42,A07:G12,no,24C,primed; microcell,20170613,11:50,SunGro MM 930 Rsi,Playground Sand,1,5,proximal,24,20170613,13:40,6/13/2017 13:40,20170614,15:17,6/14/2017 15:17,30,350,25.62,/iplant/home/jgustin/20160614_Camera5,NA,no,,no,NA,
23,yes,20160613_tray5,,NAM parents,,15A-6198,CML103,CML103,NA,42,A01:G06,no,24C,non-primed,20170613,12:20,SunGro MM 930 Rsi,Playground Sand,1,5,distal,24,20170613,13:40,6/13/2017 13:40,20170614,15:17,6/14/2017 15:17,30,350,25.62,/iplant/home/jgustin/20160614_Camera5,NA,no,,no,NA,
24,yes,20160613_tray5,,NAM parents,,15A-6198,CML103,CML103,NA,42,A07:G12,no,24C,primed; microcell,20170613,12:20,SunGro MM 930 Rsi,Playground Sand,1,5,distal,24,20170613,13:40,6/13/2017 13:40,20170614,15:17,6/14/2017 15:17,30,350,25.62,/iplant/home/jgustin/20160614_Camera5,NA,no,,no,NA,
25,yes,20160615_tray1,,NAM parents,,15A-6215,CML247,CML247,NA,42,A01:G06,no,10C ,primed; microcell,20170615,9:50,SunGro MM 930 Rsi,Playground Sand,1,2,proximal,24,20170615,15:00,6/15/2017 15:00,20170621,16:42,6/21/2017 16:42,30,250,145.7,/iplant/home/jgustin/20160621_Camera2,NA,no,,no,NA,
26,yes,20160615_tray1,,NAM parents,,15A-6215,CML247,CML247,NA,42,A07:G12,no,10C ,non-primed,20170615,9:50,SunGro MM 930 Rsi,Playground Sand,1,2,proximal,24,20170615,15:00,6/15/2017 15:00,20170621,16:42,6/21/2017 16:42,30,250,145.7,/iplant/home/jgustin/20160621_Camera2,NA,no,,no,NA,
27,yes,20160615_tray2,,NAM parents,,15A-6209,CML277,CML277,NA,42,A01:G06,no,10C ,primed; microcell,20170615,10:20,SunGro MM 930 Rsi,Playground Sand,1,2,distal,24,20170615,15:00,6/15/2017 15:00,20170621,16:42,6/21/2017 16:42,30,250,145.7,/iplant/home/jgustin/20160621_Camera2,NA,no,,no,NA,
28,yes,20160615_tray2,,NAM parents,,15A-6209,CML277,CML277,NA,42,A07:G12,no,10C ,non-primed,20170615,10:20,SunGro MM 930 Rsi,Playground Sand,1,2,distal,24,20170615,15:00,6/15/2017 15:00,20170621,16:42,6/21/2017 16:42,30,250,145.7,/iplant/home/jgustin/20160621_Camera2,NA,no,,no,NA,
29,yes,20160615_tray3,,NAM parents,,15A-6200,CML322,CML322,NA,42,A01:G06,no,10C ,primed; microcell,20170615,10:50,SunGro MM 930 Rsi,Playground Sand,1,4,proximal,24,20170615,15:00,6/15/2017 15:00,20170621,16:42,6/21/2017 16:42,30,250,145.7,/iplant/home/jgustin/20160621_Camera4,NA,no,,no,NA,
30,yes,20160615_tray3,,NAM parents,,15A-6200,CML322,CML322,NA,42,A07:G12,no,10C ,non-primed,20170615,10:50,SunGro MM 930 Rsi,Playground Sand,1,4,proximal,24,20170615,15:00,6/15/2017 15:00,20170621,16:42,6/21/2017 16:42,30,250,145.7,/iplant/home/jgustin/20160621_Camera4,NA,no,,no,NA,
31,yes,20160615_tray4,,NAM parents,,15A-6210,CML333,CML333,NA,42,A01:G06,no,10C ,primed; microcell,20170615,11:20,SunGro MM 930 Rsi,Playground Sand,1,4,distal,24,20170615,15:00,6/15/2017 15:00,20170621,16:42,6/21/2017 16:42,30,250,145.7,/iplant/home/jgustin/20160621_Camera4,NA,no,,no,NA,
32,yes,20160615_tray4,,NAM parents,,15A-6210,CML333,CML333,NA,42,A07:G12,no,10C ,non-primed,20170615,11:20,SunGro MM 930 Rsi,Playground Sand,1,4,distal,24,20170615,15:00,6/15/2017 15:00,20170621,16:42,6/21/2017 16:42,30,250,145.7,/iplant/home/jgustin/20160621_Camera4,NA,no,,no,NA,
33,yes,20160615_tray5,,NAM parents,,15A-6191,Hp301,Hp301,NA,42,A01:G06,no,10C ,primed; microcell,20170615,11:50,SunGro MM 930 Rsi,Playground Sand,1,6,proximal,24,20170615,15:00,6/15/2017 15:00,20170621,16:42,6/21/2017 16:42,30,250,145.7,/iplant/home/jgustin/20160621_Camera6,NA,no,,no,NA,
34,yes,20160615_tray5,,NAM parents,,15A-6191,Hp301,Hp301,NA,42,A07:G12,no,10C ,non-primed,20170615,11:50,SunGro MM 930 Rsi,Playground Sand,1,6,proximal,24,20170615,15:00,6/15/2017 15:00,20170621,16:42,6/21/2017 16:42,30,250,145.7,/iplant/home/jgustin/20160621_Camera6,NA,no,,no,NA,
35,yes,20160615_tray6,,NAM parents,,15A-6189,IL14H,IL14H,NA,42,A01:G06,no,10C ,primed; microcell,20170615,12:20,SunGro MM 930 Rsi,Playground Sand,1,6,distal,24,20170615,15:00,6/15/2017 15:00,20170621,16:42,6/21/2017 16:42,30,250,145.7,/iplant/home/jgustin/20160621_Camera6,NA,no,,no,NA,
36,yes,20160615_tray6,,NAM parents,,15A-6189,IL14H,IL14H,NA,42,A07:G12,no,10C ,non-primed,20170615,12:20,SunGro MM 930 Rsi,Playground Sand,1,6,distal,24,20170615,15:00,6/15/2017 15:00,20170621,16:42,6/21/2017 16:42,30,250,145.7,/iplant/home/jgustin/20160621_Camera6,NA,no,,no,NA,
37,yes,20160620_tray1,,NAM parents,,15A-6215,CML247,CML247,NA,42,A01:G06,no,24C,non-primed,20170620,14:30,SunGro MM 930 Rsi,Playground Sand,1,1,proximal,24,20170620,15:00,6/15/2017 15:00,20170621,16:42,6/21/2017 16:42,30,250,145.7,/iplant/home/jgustin/20160621_Camera1,NA,no,,no,NA,
38,yes,20160620_tray1,,NAM parents,,15A-6215,CML247,CML247,NA,42,A07:G12,no,24C,primed; microcell,20170620,14:30,SunGro MM 930 Rsi,Playground Sand,1,1,proximal,24,20170620,15:00,6/15/2017 15:00,20170621,16:42,6/21/2017 16:42,30,250,145.7,/iplant/home/jgustin/20160621_Camera1,NA,no,,no,NA,
39,yes,20160620_tray2,,NAM parents,,15A-6209,CML277,CML277,NA,42,A01:G06,no,24C,non-primed,20170620,14:30,SunGro MM 930 Rsi,Playground Sand,1,1,distal,24,20170620,15:00,6/15/2017 15:00,20170621,16:42,6/21/2017 16:42,30,250,145.7,/iplant/home/jgustin/20160621_Camera1,NA,no,,no,NA,
40,yes,20160620_tray2,,NAM parents,,15A-6209,CML277,CML277,NA,42,A07:G12,no,24C,primed; microcell,20170620,14:30,SunGro MM 930 Rsi,Playground Sand,1,1,distal,24,20170620,15:00,6/15/2017 15:00,20170621,16:42,6/21/2017 16:42,30,250,145.7,/iplant/home/jgustin/20160621_Camera1,NA,no,,no,NA,
41,yes,20160620_tray3,,NAM parents,,15A-6200,CML322,CML322,NA,42,A01:G06,no,24C,non-primed,20170620,14:30,SunGro MM 930 Rsi,Playground Sand,1,3,proximal,24,20170620,15:00,6/15/2017 15:00,20170621,16:42,6/21/2017 16:42,30,250,145.7,/iplant/home/jgustin/20160621_Camera3,NA,no,,no,NA,
42,yes,20160620_tray3,,NAM parents,,15A-6200,CML322,CML322,NA,42,A07:G12,no,24C,primed; microcell,20170620,14:30,SunGro MM 930 Rsi,Playground Sand,1,3,proximal,24,20170620,15:00,6/15/2017 15:00,20170621,16:42,6/21/2017 16:42,30,250,145.7,/iplant/home/jgustin/20160621_Camera3,NA,no,,no,NA,
43,yes,20160620_tray4,,NAM parents,,15A-6210,CML333,CML333,NA,42,A01:G06,no,24C,non-primed,20170620,14:30,SunGro MM 930 Rsi,Playground Sand,1,3,distal,24,20170620,15:00,6/15/2017 15:00,20170621,16:42,6/21/2017 16:42,30,250,145.7,/iplant/home/jgustin/20160621_Camera3,NA,no,,no,NA,
44,yes,20160620_tray4,,NAM parents,,15A-6210,CML333,CML333,NA,42,A07:G12,no,24C,primed; microcell,20170620,14:30,SunGro MM 930 Rsi,Playground Sand,1,3,distal,24,20170620,15:00,6/15/2017 15:00,20170621,16:42,6/21/2017 16:42,30,250,145.7,/iplant/home/jgustin/20160621_Camera3,NA,no,,no,NA,
45,yes,20160620_tray5,,NAM parents,,15A-6191,Hp301,Hp301,NA,42,A01:G06,no,24C,non-primed,20170620,14:30,SunGro MM 930 Rsi,Playground Sand,1,5,proximal,24,20170620,15:00,6/15/2017 15:00,20170621,16:42,6/21/2017 16:42,30,250,145.7,/iplant/home/jgustin/20160621_Camera5,NA,no,,no,NA,
46,yes,20160620_tray5,,NAM parents,,15A-6191,Hp301,Hp301,NA,42,A07:G12,no,24C,primed; microcell,20170620,14:30,SunGro MM 930 Rsi,Playground Sand,1,5,proximal,24,20170620,15:00,6/15/2017 15:00,20170621,16:42,6/21/2017 16:42,30,250,145.7,/iplant/home/jgustin/20160621_Camera5,NA,no,,no,NA,
47,yes,20160620_tray6,,NAM parents,,15A-6189,IL14H,IL14H,NA,42,A01:G06,no,24C,non-primed,20170620,14:30,SunGro MM 930 Rsi,Playground Sand,1,5,distal,24,20170620,15:00,6/15/2017 15:00,20170621,16:42,6/21/2017 16:42,30,250,145.7,/iplant/home/jgustin/20160621_Camera5,NA,no,,no,NA,
48,yes,20160620_tray6,,NAM parents,,15A-6189,IL14H,IL14H,NA,42,A07:G12,no,24C,primed; microcell,20170620,14:30,SunGro MM 930 Rsi,Playground Sand,1,5,distal,24,20170620,15:00,6/15/2017 15:00,20170621,16:42,6/21/2017 16:42,30,250,145.7,/iplant/home/jgustin/20160621_Camera5,NA,no,,no,NA,
49,yes,20160622_tray1,,NAM parents,,15A-6195,Ki03,Ki03,NA,42,A01:G06,no,10C ,primed; microcell,20170622,12:30,SunGro MM 930 Rsi,Playground Sand,1,2,proximal,24,20170627,14.39,6/27/2017 14:39,20170628,15:35,6/28/2017 15:35,30,250,24.93,/iplant/home/jgustin/20160628_Camera2,NA,no,,no,NA,
50,yes,20160622_tray1,,NAM parents,,15A-6195,Ki03,Ki03,NA,42,A07:G12,no,10C ,non-primed,20170622,12:30,SunGro MM 930 Rsi,Playground Sand,1,2,proximal,24,20170627,14.39,6/27/2017 14:39,20170628,15:35,6/28/2017 15:35,30,250,24.93,/iplant/home/jgustin/20160628_Camera2,NA,no,,no,NA,
51,yes,20160622_tray2,,NAM parents,,15A-6201,Ki11,Ki11,NA,42,A01:G06,no,10C ,primed; microcell,20170622,12:30,SunGro MM 930 Rsi,Playground Sand,1,2,distal,24,20170627,14.39,6/27/2017 14:39,20170628,15:35,6/28/2017 15:35,30,250,24.93,/iplant/home/jgustin/20160628_Camera2,NA,no,,no,NA,
52,yes,20160622_tray2,,NAM parents,,15A-6201,Ki11,Ki11,NA,42,A07:G12,no,10C ,non-primed,20170622,12:30,SunGro MM 930 Rsi,Playground Sand,1,2,distal,24,20170627,14.39,6/27/2017 14:39,20170628,15:35,6/28/2017 15:35,30,250,24.93,/iplant/home/jgustin/20160628_Camera2,NA,no,,no,NA,
53,yes,20160622_tray3,,NAM parents,,15A-6216,Ky21,Ky21,NA,42,A01:G06,no,10C ,primed; microcell,20170622,12:30,SunGro MM 930 Rsi,Playground Sand,1,4,proximal,24,20170627,14.39,6/27/2017 14:39,20170628,15:35,6/28/2017 15:35,30,250,24.93,/iplant/home/jgustin/20160628_Camera4,NA,no,,no,NA,
54,yes,20160622_tray3,,NAM parents,,15A-6216,Ky21,Ky21,NA,42,A07:G12,no,10C ,non-primed,20170622,12:30,SunGro MM 930 Rsi,Playground Sand,1,4,proximal,24,20170627,14.39,6/27/2017 14:39,20170628,15:35,6/28/2017 15:35,30,250,24.93,/iplant/home/jgustin/20160628_Camera4,NA,no,,no,NA,
55,yes,20160622_tray4,,NAM parents,,15A-6192,Mo37W,Mo37W,NA,42,A01:G06,no,10C ,primed; microcell,20170622,12:30,SunGro MM 930 Rsi,Playground Sand,1,4,distal,24,20170627,14.39,6/27/2017 14:39,20170628,15:35,6/28/2017 15:35,30,250,24.93,/iplant/home/jgustin/20160628_Camera4,NA,no,,no,NA,
56,yes,20160622_tray4,,NAM parents,,15A-6192,Mo37W,Mo37W,NA,42,A07:G12,no,10C ,non-primed,20170622,12:30,SunGro MM 930 Rsi,Playground Sand,1,4,distal,24,20170627,14.39,6/27/2017 14:39,20170628,15:35,6/28/2017 15:35,30,250,24.93,/iplant/home/jgustin/20160628_Camera4,NA,no,,no,NA,
57,yes,20160622_tray5,,NAM parents,,15A-6202,M162W,M162W,NA,42,A01:G06,no,10C ,primed; microcell,20170622,12:30,SunGro MM 930 Rsi,Playground Sand,1,6,proximal,24,20170627,14.39,6/27/2017 14:39,20170628,15:35,6/28/2017 15:35,30,250,24.93,/iplant/home/jgustin/20160628_Camera6,NA,no,,no,NA,
58,yes,20160622_tray5,,NAM parents,,15A-6202,M162W,M162W,NA,42,A07:G12,no,10C ,non-primed,20170622,12:30,SunGro MM 930 Rsi,Playground Sand,1,6,proximal,24,20170627,14.39,6/27/2017 14:39,20170628,15:35,6/28/2017 15:35,30,250,24.93,/iplant/home/jgustin/20160628_Camera6,NA,no,,no,NA,
59,yes,20160622_tray6,,NAM parents,,15A-6190,Mo17,Mo17,NA,42,A01:G06,no,10C ,primed; microcell,20170622,12:30,SunGro MM 930 Rsi,Playground Sand,1,6,distal,24,20170627,14.39,6/27/2017 14:39,20170628,15:35,6/28/2017 15:35,30,250,24.93,/iplant/home/jgustin/20160628_Camera6,NA,no,,no,NA,
60,yes,20160622_tray6,,NAM parents,,15A-6190,Mo17,Mo17,NA,42,A07:G12,no,10C ,non-primed,20170622,12:30,SunGro MM 930 Rsi,Playground Sand,1,6,distal,24,20170627,14.39,6/27/2017 14:39,20170628,15:35,6/28/2017 15:35,30,250,24.93,/iplant/home/jgustin/20160628_Camera6,NA,no,,no,NA,
61,no,20160627_tray1,,NAM parents,,15A-6195,Ki03,Ki03,NA,42,A01:G06,no,24C,non-primed,20170627,14:19,SunGro MM 930 Rsi,Playground Sand,1,1,proximal,24,20170627,14.39,6/27/2017 14:39,20170628,15:35,6/28/2017 15:35,30,250,24.93,/iplant/home/jgustin/20160628_Camera1,NA,no,,no,NA,
62,no,20160627_tray1,,NAM parents,,15A-6195,Ki03,Ki03,NA,42,A07:G12,no,24C,primed; microcell,20170627,14:19,SunGro MM 930 Rsi,Playground Sand,1,1,proximal,24,20170627,14.39,6/27/2017 14:39,20170628,15:35,6/28/2017 15:35,30,250,24.93,/iplant/home/jgustin/20160628_Camera1,NA,no,,no,NA,
63,no,20160627_tray2,,NAM parents,,15A-6201,Ki11,Ki11,NA,42,A01:G06,no,24C,non-primed,20170627,14:19,SunGro MM 930 Rsi,Playground Sand,1,1,distal,24,20170627,14.39,6/27/2017 14:39,20170628,15:35,6/28/2017 15:35,30,250,24.93,/iplant/home/jgustin/20160628_Camera1,NA,no,,no,NA,
